"carbon","GNI_per_capita_Atlas_method_current_US_dollar","Total_population_00_04","Total_population_05_09","Total_population_10_14","Total_population_15_19","Total_population_20_24","Total_population_25_29","Total_population_30_34","Total_population_35_39","Total_population_40_44","Total_population_45_49","Total_population_50_54","Total_population_55_59","Total_population_60_64","Total_population_65_69","Total_population_70_74","Total_population_75_79","Total_population_80","Urban_population","carbon.m1","carbon.m2","carbon.m3","carbon.m4","carbon.m5","carbon.m6","carbon.m7","carbon.m8","carbon.m9","carbon.m10","carbon.m11","carbon.m12","carbon.m13","carbon.m14","carbon.m15","carbon.m16","carbon.m17","carbon.m18"
1687824528,13400,16500000,16600000,18500000,21100000,21400000,19700000,17600000,13800000,11900000,11000000,11600000,11500000,10100000,8900000,6990000,4800000,5120000,168000000,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642,1292173822,1212332667,1144244277,1090741361,1025306477
1635625139,14400,16700000,16500000,18100000,20800000,21600000,20200000,18100000,14500000,12100000,11100000,11500000,11600000,10300000,8950000,7150000,4950000,5330000,170000000,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642,1292173822,1212332667,1144244277,1090741361
1534710738,14200,17000000,16500000,17800000,20300000,21700000,20700000,18700000,15300000,12500000,11100000,11300000,11500000,10500000,9000000,7290000,5110000,5520000,172000000,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642,1292173822,1212332667,1144244277
1529914666,14600,17200000,16500000,17500000,19800000,21700000,21100000,19100000,16100000,12800000,11300000,11100000,11400000,10700000,9070000,7400000,5290000,5680000,173000000,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642,1292173822,1212332667
1626590068,16200,17400000,16600000,17300000,19400000,21500000,21500000,19600000,16800000,13300000,11500000,10900000,11300000,10800000,9200000,7490000,5480000,5800000,175000000,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642,1292173822
1648672535,17500,17700000,16700000,17100000,18900000,21300000,21700000,20100000,17400000,13900000,11700000,10800000,11200000,10800000,9370000,7580000,5660000,5920000,177000000,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364,1341891642
1651203144,19200,18000000,16900000,17000000,18600000,20900000,21800000,20500000,18100000,14500000,12000000,10800000,11000000,10900000,9460000,7670000,5750000,6190000,179000000,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555,1427866364
1700875381,21500,18200000,17100000,17000000,18300000,20500000,21900000,20900000,18700000,15200000,12300000,10900000,10800000,10800000,9580000,7760000,5840000,6440000,181000000,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882,1488758555
1784628143,23600,18400000,17400000,17100000,18100000,20000000,21800000,21300000,19200000,16000000,12600000,11100000,10600000,10800000,9730000,7840000,5940000,6660000,183000000,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734,1573758882
1803930203,23900,18500000,17600000,17200000,17900000,19700000,21500000,21700000,19600000,16900000,13100000,11300000,10500000,10700000,9880000,7930000,6060000,6830000,185000000,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286,1613205734
1765776715,24200,18700000,17900000,17300000,17800000,19400000,21300000,22000000,20100000,17700000,13600000,11500000,10400000,10600000,10000000,8060000,6200000,6980000,188000000,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882,1710416286
1752708363,24400,18900000,18300000,17600000,17800000,19100000,21200000,22200000,20600000,18300000,14400000,11800000,10500000,10500000,10000000,8220000,6240000,7310000,192000000,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638,1790090882
1808889404,25800,19100000,18700000,18000000,17800000,18900000,21000000,22400000,21200000,18800000,15200000,12200000,10600000,10300000,10000000,8410000,6300000,7590000,195000000,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338,1713857638
1856259077,26500,19300000,19000000,18400000,18000000,18700000,20700000,22500000,21700000,19300000,16000000,12600000,10800000,10200000,10000000,8590000,6390000,7800000,199000000,1808889404,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232,1621686338
1915057836,27800,19400000,19200000,18800000,18300000,18500000,20300000,22500000,22200000,19800000,16800000,13100000,11000000,10100000,9990000,8720000,6530000,7950000,202000000,1856259077,1808889404,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586,1744147232
1920899558,29200,19400000,19300000,19200000,18600000,18400000,20000000,22500000,22600000,20300000,17400000,13700000,11300000,10100000,9950000,8810000,6720000,8050000,206000000,1915057836,1856259077,1808889404,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012,1820468586
1994515803,30400,19600000,19500000,19500000,18800000,18500000,19700000,22200000,22800000,20800000,18100000,14300000,11600000,10100000,9810000,8850000,6840000,8300000,209000000,1920899558,1915057836,1856259077,1808889404,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143,1803987012
2058852275,31400,19500000,19800000,19700000,19200000,18700000,19500000,21800000,22900000,21400000,18700000,15100000,11900000,10200000,9660000,8880000,6980000,8540000,213000000,1994515803,1920899558,1915057836,1856259077,1808889404,1752708363,1765776715,1803930203,1784628143,1700875381,1651203144,1648672535,1626590068,1529914666,1534710738,1635625139,1687824528,1822233143
